PONTO,DATA,Alcalinidade Total,Alcalinidade Total_UN,Alumínio Dissolvido ,Alumínio Dissolvido _UN,Cloreto Total ,Cloreto Total _UN,Clorofila a,Clorofila a_UN,Cobre Dissolvido ,Cobre Dissolvido _UN,Cobre Total,Cobre Total_UN,Coliformes Totais,Coliformes Totais_UN,Condutividade Elétrica,Condutividade Elétrica_UN,Cor Verdadeira ,Cor Verdadeira _UN,DBO ,DBO _UN,DQO,DQO_UN,Dureza Total ,Dureza Total _UN,Escherichia coli,Escherichia coli_UN,Ferro Dissolvido,Ferro Dissolvido_UN,Fito - Cyanobacteria (Microcystis cf. aeruginosa),Fito - Cyanobacteria (Microcystis cf. aeruginosa)_UN,Fitoplâncton Quantitativo,Fitoplâncton Quantitativo_UN,Fósforo Total ,Fósforo Total _UN,Manganês Total ,Manganês Total _UN,Nitrato ,Nitrato _UN,Nitrito ,Nitrito _UN,Nitrogênio Amoniacal ,Nitrogênio Amoniacal _UN,Nitrogênio total,Nitrogênio total_UN,Oxigênio Dissolvido,Oxigênio Dissolvido_UN,Potássio Total ,Potássio Total _UN,Sulfato Total,Sulfato Total_UN,Surfactantes,Surfactantes_UN,Sólidos Dissolvidos,Sólidos Dissolvidos Totais,Sólidos Dissolvidos Totais_UN,Sólidos Dissolvidos_UN,Sólidos Sedimentáveis,Sólidos Sedimentáveis_UN,Sólidos Suspensos Totais,Sólidos Suspensos Totais_UN,Sólidos Totais,Sólidos Totais_UN,Temperatura da Água,Temperatura da Água_UN,Transparência da Água,Transparência da Água_UN,Turbidez,Turbidez_UN,Zoobentos Quantitativo,Zoobentos Quantitativo_UN,Zooplâncton Quantitativo,Zooplâncton Quantitativo_UN,pH,pH_UN,Óleos e Graxas,Óleos e Graxas_UN,Latitude,Longitude
CLA-08CS,2019-07-16,0.0,mg/L,0.0,mg/L,1.0,mg/L,0.9,μg/L,0.0,mg/L,,,2.0,NMP/100mL,19.0,μS/cm,12.0,UC,0.65,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,7.6,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,22.1,°C,1.85,m,3.92,NTU,,,,,7.65,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2019-07-16,2.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,μg/L,0.0,mg/L,,,0.0,NMP/100mL,20.0,μS/cm,0.0,UC,0.23,mg/L,,mg/L,6.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,8.2,mg/L,,mg/L,0.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,24.6,°C,0.0,m,3.25,NTU,,,,,7.8,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-07-16,,mg/L,0.36,mg/L,30.0,mg/L,,μg/L,,mg/L,,,14300.0,NMP/100mL,88.0,μS/cm,,UC,43.0,mg/L,325.0,mg/L,,mg/L,,NPM/100mL,0.35,mg/L,,,,,1.17,mg/L,0.24,mg/L,0.54,mg/L,0.03,mg/L,1.2,mg/L,0.86,mg/L,4.2,mg/L,,mg/L,1.27,mg/L,0.91,mg/L,,44.0,mg/L,,9.0,mg/L,16.0,mg/L,26.0,mg/L,24.6,°C,,m,19.9,NTU,,,,,7.6,mg/L,3.5,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2019-10-05,10.0,mg/L,0.0,mg/L,4.0,mg/L,0.1,μg/L,0.0,mg/L,,,0.0,NMP/100mL,16.0,μS/cm,6.0,UC,0.7,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,6.2,mg/L,,mg/L,0.0,mg/L,,,,8.0,mg/L,,,,,,8.0,mg/L,31.4,°C,2.0,m,4.8,NTU,,,,,8.9,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2019-10-05,8.0,mg/L,0.0,mg/L,5.0,mg/L,0.01,μg/L,0.0,mg/L,,,40.0,NMP/100mL,18.0,μS/cm,8.0,UC,0.7,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,5.8,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,32.2,°C,2.1,m,5.15,NTU,,,,,8.6,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2019-10-05,12.0,mg/L,0.01,mg/L,6.0,mg/L,0.0,μg/L,0.09,mg/L,,,110.0,NMP/100mL,20.0,μS/cm,10.0,UC,0.4,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.1,mg/L,,,,,0.0,mg/L,0.1,mg/L,0.0,mg/L,0.001,mg/L,0.0,mg/L,0.0,mg/L,5.4,mg/L,,mg/L,0.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,31.6,°C,1.3,m,4.8,NTU,,,,,8.4,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2019-10-05,12.0,mg/L,0.02,mg/L,5.0,mg/L,0.31,μg/L,0.1,mg/L,,,640.0,NMP/100mL,21.0,μS/cm,10.0,UC,0.64,mg/L,,mg/L,14.0,mg/L,,NPM/100mL,0.14,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,0.11,mg/L,0.12,mg/L,5.6,mg/L,,mg/L,35.23,mg/L,,,,10.0,mg/L,,,,,,,mg/L,33.2,°C,1.4,m,4.4,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2019-10-05,26.0,mg/L,0.09,mg/L,160.0,mg/L,3.06,μg/L,2.84,mg/L,,,0.0,NMP/100mL,496.0,μS/cm,70.0,UC,0.09,mg/L,,mg/L,22.0,mg/L,,NPM/100mL,0.45,mg/L,,,,,0.56,mg/L,0.08,mg/L,0.22,mg/L,0.038,mg/L,2.1,mg/L,2.1,mg/L,5.1,mg/L,,mg/L,250.0,mg/L,,,,252.0,mg/L,,,,,,,mg/L,32.1,°C,0.1,m,4.66,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2019-10-05,14.0,mg/L,0.05,mg/L,10.0,mg/L,0.23,μg/L,1.03,mg/L,,,560.0,NMP/100mL,35.0,μS/cm,50.0,UC,1.81,mg/L,,mg/L,16.0,mg/L,,NPM/100mL,0.05,mg/L,,,,,0.0,mg/L,0.22,mg/L,0.08,mg/L,0.003,mg/L,0.0,mg/L,0.14,mg/L,5.0,mg/L,,mg/L,14.48,mg/L,,,,17.0,mg/L,,,,,,,mg/L,31.0,°C,1.86,m,6.75,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2019-10-05,10.0,mg/L,0.01,mg/L,10.0,mg/L,0.0,μg/L,2.49,mg/L,,,240.0,NMP/100mL,24.0,μS/cm,40.0,UC,1.5,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.05,mg/L,,,,,0.12,mg/L,0.04,mg/L,0.02,mg/L,0.0,mg/L,0.0,mg/L,0.03,mg/L,5.2,mg/L,,mg/L,9.59,mg/L,,,,12.0,mg/L,,,,,,,mg/L,32.5,°C,1.78,m,3.81,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2019-10-05,8.0,mg/L,0.02,mg/L,12.0,mg/L,0.0,μg/L,1.96,mg/L,,,80.0,NMP/100mL,23.0,μS/cm,30.0,UC,1.77,mg/L,,mg/L,6.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.03,mg/L,0.002,mg/L,0.0,mg/L,1.9,mg/L,5.0,mg/L,,mg/L,14.36,mg/L,,,,11.0,mg/L,,,,,,,mg/L,33.2,°C,2.2,m,2.85,NTU,,,,,8.8,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2019-10-05,10.0,mg/L,0.05,mg/L,16.0,mg/L,0.0,μg/L,1.36,mg/L,,,160.0,NMP/100mL,18.0,μS/cm,20.0,UC,0.27,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.01,mg/L,,,,,0.258,mg/L,0.12,mg/L,0.0,mg/L,0.001,mg/L,0.01,mg/L,3.93,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,33.1,°C,1.6,m,2.36,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2019-10-05,10.0,mg/L,0.1,mg/L,8.0,mg/L,0.0,μg/L,0.31,mg/L,,,110.0,NMP/100mL,20.0,μS/cm,20.0,UC,0.47,mg/L,,mg/L,12.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.13,mg/L,0.1,mg/L,0.0,mg/L,0.001,mg/L,0.0,mg/L,0.01,mg/L,5.1,mg/L,,mg/L,0.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,32.7,°C,1.4,m,2.4,NTU,,,,,8.8,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2019-10-05,8.0,mg/L,0.0,mg/L,12.0,mg/L,6.38,μg/L,0.21,mg/L,,,8.0,NMP/100mL,16.0,μS/cm,10.0,UC,0.36,mg/L,,mg/L,8.0,mg/L,,NPM/100mL,0.0,mg/L,,,,,0.0,mg/L,0.0,mg/L,0.01,mg/L,0.0,mg/L,0.0,mg/L,0.03,mg/L,5.0,mg/L,,mg/L,0.0,mg/L,,,,8.0,mg/L,,,,,,,mg/L,31.0,°C,0.2,m,1.1,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2019-10-05,,mg/L,0.094,mg/L,30.0,mg/L,,μg/L,,mg/L,,,1000.0,NMP/100mL,42.0,μS/cm,,UC,1.9,mg/L,120.22,mg/L,,mg/L,,NPM/100mL,0.34,mg/L,,,,,0.78,mg/L,0.33,mg/L,0.58,mg/L,0.02,mg/L,0.78,mg/L,2.37,mg/L,5.3,mg/L,,mg/L,15.03,mg/L,0.0,mg/L,,21.0,mg/L,,0.1,mg/L,0.21,mg/L,21.35,mg/L,31.5,°C,,m,,NTU,,,,,9.6,mg/L,,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2020-01-02,8.0,mg/L,0.02,mg/L,2.0,mg/L,0.1,μg/L,0.06,mg/L,,,42.0,NMP/100mL,16.0,μS/cm,12.0,UC,0.2,mg/L,59.4,mg/L,8.0,mg/L,8.0,NPM/100mL,0.01,mg/L,,,,,0.204,mg/L,0.05,mg/L,1.3,mg/L,0.014,mg/L,0.01,mg/L,1.33,mg/L,5.1,mg/L,,mg/L,0.01,mg/L,,,,8.0,mg/L,,,,,,,mg/L,27.2,°C,0.5,m,16.68,NTU,,,,,8.3,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2020-01-02,8.0,mg/L,0.06,mg/L,4.0,mg/L,0.1,μg/L,0.11,mg/L,,,48.0,NMP/100mL,14.0,μS/cm,16.0,UC,0.7,mg/L,110.2,mg/L,8.0,mg/L,16.0,NPM/100mL,0.25,mg/L,,,,,0.432,mg/L,0.21,mg/L,1.65,mg/L,0.03,mg/L,1.71,mg/L,1.71,mg/L,5.1,mg/L,,mg/L,0.01,mg/L,,,,7.0,mg/L,,,,,,,mg/L,28.3,°C,0.6,m,15.04,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2020-01-02,8.0,mg/L,0.06,mg/L,4.0,mg/L,0.1,μg/L,0.36,mg/L,,,10.0,NMP/100mL,15.0,μS/cm,110.0,UC,0.4,mg/L,311.61,mg/L,6.0,mg/L,4.0,NPM/100mL,0.73,mg/L,,,,,0.718,mg/L,0.19,mg/L,1.06,mg/L,0.049,mg/L,0.0,mg/L,1.12,mg/L,8.0,mg/L,,mg/L,0.01,mg/L,,,,7.0,mg/L,,,,,,,mg/L,28.8,°C,0.7,m,14.06,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2020-01-02,12.0,mg/L,0.14,mg/L,8.0,mg/L,0.01,μg/L,1.31,mg/L,,,165.0,NMP/100mL,14.0,μS/cm,140.0,UC,0.64,mg/L,340.23,mg/L,8.0,mg/L,21.0,NPM/100mL,0.59,mg/L,,,,,0.482,mg/L,0.3,mg/L,1.59,mg/L,0.055,mg/L,0.05,mg/L,1.59,mg/L,5.1,mg/L,,mg/L,0.01,mg/L,,,,7.0,mg/L,,,,,,,mg/L,27.0,°C,0.2,m,31.08,NTU,,,,,9.2,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2020-01-02,18.0,mg/L,0.07,mg/L,32.0,mg/L,0.01,μg/L,1.73,mg/L,,,15000.0,NMP/100mL,56.0,μS/cm,150.0,UC,1.81,mg/L,512.57,mg/L,12.0,mg/L,158.0,NPM/100mL,3.26,mg/L,,,,,0.697,mg/L,0.86,mg/L,0.72,mg/L,0.054,mg/L,0.04,mg/L,0.81,mg/L,4.8,mg/L,,mg/L,21.76,mg/L,,,,28.0,mg/L,,,,,,,mg/L,27.6,°C,0.2,m,12.72,NTU,,,,,9.5,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2020-01-02,14.0,mg/L,0.09,mg/L,8.0,mg/L,0.01,μg/L,0.45,mg/L,,,461.0,NMP/100mL,15.0,μS/cm,70.0,UC,1.93,mg/L,410.13,mg/L,12.0,mg/L,52.0,NPM/100mL,0.72,mg/L,,,,,0.158,mg/L,0.32,mg/L,0.89,mg/L,0.039,mg/L,0.05,mg/L,0.98,mg/L,5.0,mg/L,,mg/L,1.97,mg/L,,,,8.0,mg/L,,,,,,,mg/L,27.6,°C,27.6,m,29.27,NTU,,,,,9.2,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2020-01-02,12.0,mg/L,0.03,mg/L,12.0,mg/L,0.01,μg/L,1.18,mg/L,,,180.0,NMP/100mL,15.0,μS/cm,150.0,UC,1.8,mg/L,389.21,mg/L,8.0,mg/L,36.0,NPM/100mL,0.21,mg/L,,,,,0.176,mg/L,0.36,mg/L,0.76,mg/L,0.02,mg/L,0.05,mg/L,0.83,mg/L,5.0,mg/L,,mg/L,1.22,mg/L,,,,7.0,mg/L,,,,,,,mg/L,27.8,°C,0.8,m,24.0,NTU,,,,,9.1,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2020-01-02,12.0,mg/L,0.93,mg/L,12.0,mg/L,0.01,μg/L,1.28,mg/L,,,132.0,NMP/100mL,18.0,μS/cm,120.0,UC,1.77,mg/L,271.92,mg/L,8.0,mg/L,18.0,NPM/100mL,0.37,mg/L,,,,,0.378,mg/L,0.16,mg/L,0.7,mg/L,0.02,mg/L,0.03,mg/L,0.05,mg/L,5.0,mg/L,,mg/L,0.01,mg/L,,,,9.0,mg/L,,,,,,,mg/L,29.4,°C,0.4,m,18.86,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2020-01-02,8.0,mg/L,0.03,mg/L,16.0,mg/L,0.01,μg/L,1.2,mg/L,,,145.0,NMP/100mL,5.0,μS/cm,50.0,UC,0.27,mg/L,379.69,mg/L,6.0,mg/L,22.0,NPM/100mL,0.33,mg/L,,,,,0.001,mg/L,0.23,mg/L,0.48,mg/L,0.013,mg/L,0.0,mg/L,0.49,mg/L,5.0,mg/L,,mg/L,0.01,mg/L,,,,3.0,mg/L,,,,,,,mg/L,28.5,°C,0.8,m,7.08,NTU,,,,,9.3,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-01-02,8.0,mg/L,0.03,mg/L,16.0,mg/L,0.01,μg/L,1.2,mg/L,,,145.0,NMP/100mL,5.0,μS/cm,50.0,UC,0.27,mg/L,379.69,mg/L,6.0,mg/L,22.0,NPM/100mL,0.33,mg/L,,,,,0.001,mg/L,0.23,mg/L,0.48,mg/L,0.013,mg/L,0.0,mg/L,0.49,mg/L,5.0,mg/L,,mg/L,0.01,mg/L,,,,3.0,mg/L,,,,,,,mg/L,25.8,°C,0.8,m,7.08,NTU,,,,,9.3,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2020-01-02,6.0,mg/L,0.01,mg/L,14.0,mg/L,0.01,μg/L,0.02,mg/L,,,10.0,NMP/100mL,12.0,μS/cm,20.0,UC,0.36,mg/L,196.45,mg/L,2.0,mg/L,2.0,NPM/100mL,0.02,mg/L,,,,,0.001,mg/L,0.1,mg/L,0.21,mg/L,0.004,mg/L,0.0,mg/L,0.22,mg/L,5.4,mg/L,,mg/L,0.01,mg/L,,,,6.0,mg/L,,,,,,,mg/L,27.2,°C,0.2,m,7.02,NTU,,,,,8.9,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-01-02,26.0,mg/L,0.42,mg/L,44.0,mg/L,2.3,μg/L,0.26,mg/L,,,16000.0,NMP/100mL,72.0,μS/cm,170.0,UC,2.9,mg/L,508.95,mg/L,16.0,mg/L,480.0,NPM/100mL,2.99,mg/L,,,,,2.195,mg/L,1.65,mg/L,3.71,mg/L,0.229,mg/L,0.09,mg/L,4.03,mg/L,5.4,mg/L,,mg/L,3.62,mg/L,,mg/L,,6.0,mg/L,,,mg/L,,mg/L,,mg/L,27.2,°C,,m,146.2,NTU,,,,,9.9,mg/L,0.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2020-04-01,6.0,mg/L,0.012,mg/L,0.0,mg/L,0.001,μg/L,0.001,mg/L,,,8.0,NMP/100mL,22.0,μS/cm,80.0,UC,0.52,mg/L,58.8,mg/L,18.0,mg/L,0.0,NPM/100mL,0.12,mg/L,,,,,0.281,mg/L,0.001,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,12.0,mg/L,,,,11.0,mg/L,,,,,,,mg/L,27.8,°C,,m,17.78,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
CLA-02,2020-04-01,12.0,mg/L,0.02,mg/L,0.0,mg/L,0.001,μg/L,0.001,mg/L,,,8.0,NMP/100mL,24.0,μS/cm,120.0,UC,0.64,mg/L,112.5,mg/L,16.0,mg/L,0.0,NPM/100mL,0.154,mg/L,,,,,0.728,mg/L,0.1,mg/L,0.035,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.3,mg/L,,mg/L,12.0,mg/L,,,,12.0,mg/L,,,,,,,mg/L,28.2,°C,,m,12.05,NTU,,,,,8.6,mg/L,0.0,mg/L,-18.478620867606217,-51.188607926708855
CLA-03,2020-04-01,16.0,mg/L,0.039,mg/L,2.0,mg/L,0.001,μg/L,0.001,mg/L,,,12.0,NMP/100mL,22.0,μS/cm,120.0,UC,0.31,mg/L,317.5,mg/L,20.0,mg/L,2.0,NPM/100mL,0.101,mg/L,,,,,0.19,mg/L,0.09,mg/L,0.014,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,8.0,mg/L,,,,11.0,mg/L,,,,,,,mg/L,28.9,°C,,m,10.92,NTU,,,,,8.7,mg/L,0.0,mg/L,-18.528218997966466,-51.15191904306638
CLA-04,2020-04-01,8.0,mg/L,0.146,mg/L,8.0,mg/L,0.001,μg/L,0.001,mg/L,,,214.0,NMP/100mL,17.0,μS/cm,180.0,UC,0.64,mg/L,338.24,mg/L,26.0,mg/L,8.0,NPM/100mL,0.662,mg/L,,,,,1.238,mg/L,0.04,mg/L,0.129,mg/L,0.005,mg/L,0.07,mg/L,,mg/L,5.0,mg/L,,mg/L,12.0,mg/L,,,,1.0,mg/L,,,,,,,mg/L,26.2,°C,,m,56.01,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.554869066877227,-51.12675459317855
CLA-05,2020-04-01,12.0,mg/L,0.065,mg/L,210.0,mg/L,0.53,μg/L,0.001,mg/L,,,15000.0,NMP/100mL,38.0,μS/cm,210.0,UC,2.25,mg/L,562.37,mg/L,40.0,mg/L,210.0,NPM/100mL,0.584,mg/L,,,,,0.693,mg/L,0.681,mg/L,0.042,mg/L,0.022,mg/L,0.799,mg/L,,mg/L,5.0,mg/L,,mg/L,64.0,mg/L,,,,19.0,mg/L,,,,,,,mg/L,26.2,°C,,m,7.4,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.55495622601502,-51.12622947820932
CLA-06,2020-04-01,8.0,mg/L,0.131,mg/L,16.0,mg/L,0.001,μg/L,0.001,mg/L,,,412.0,NMP/100mL,17.0,μS/cm,190.0,UC,1.82,mg/L,418.26,mg/L,16.0,mg/L,16.0,NPM/100mL,0.535,mg/L,,,,,1.618,mg/L,0.241,mg/L,0.135,mg/L,0.012,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,12.0,mg/L,,,,8.0,mg/L,,,,,,,mg/L,27.2,°C,,m,53.84,NTU,,,,,8.8,mg/L,0.0,mg/L,-18.569842526616718,-51.10807692400981
CLA-06B,2020-04-01,12.0,mg/L,0.05,mg/L,48.0,mg/L,0.78,μg/L,0.023,mg/L,,,386.0,NMP/100mL,18.0,μS/cm,210.0,UC,1.88,mg/L,325.21,mg/L,16.0,mg/L,48.0,NPM/100mL,0.219,mg/L,,,,,0.444,mg/L,0.21,mg/L,0.063,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,12.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.5,°C,,m,17.92,NTU,,,,,8.9,mg/L,0.0,mg/L,-18.580416304138193,-51.10538491999489
CLA-07,2020-04-01,8.0,mg/L,0.055,mg/L,25.0,mg/L,0.001,μg/L,0.001,mg/L,,,141.0,NMP/100mL,20.0,μS/cm,140.0,UC,1.1,mg/L,236.97,mg/L,20.0,mg/L,25.0,NPM/100mL,0.262,mg/L,,,,,0.336,mg/L,0.01,mg/L,0.026,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,8.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,27.2,°C,,m,12.04,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.64469238815568,-51.05218482324302
CLA-08,2020-04-01,12.0,mg/L,0.061,mg/L,16.0,mg/L,0.001,μg/L,0.001,mg/L,,,54.0,NMP/100mL,20.0,μS/cm,130.0,UC,0.64,mg/L,311.41,mg/L,14.0,mg/L,16.0,NPM/100mL,0.098,mg/L,,,,,0.008,mg/L,0.152,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.0,mg/L,,mg/L,8.0,mg/L,,,,10.0,mg/L,,,,,,,mg/L,26.2,°C,,m,9.82,NTU,,,,,8.9,mg/L,0.0,mg/L,-18.706763370925028,-51.008782838537705
CLA-08CS,2020-04-01,16.0,mg/L,0.001,mg/L,0.0,mg/L,0.001,μg/L,0.001,mg/L,,,6.0,NMP/100mL,19.0,μS/cm,110.0,UC,0.41,mg/L,244.16,mg/L,14.0,mg/L,0.0,NPM/100mL,0.122,mg/L,,,,,0.219,mg/L,0.173,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.1,mg/L,,mg/L,8.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.2,°C,,m,9.12,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.658334892800493,-51.06757829218299
CLA-09,2020-04-01,12.0,mg/L,0.001,mg/L,0.0,mg/L,0.001,μg/L,0.001,mg/L,,,2.0,NMP/100mL,18.0,μS/cm,100.0,UC,0.32,mg/L,176.13,mg/L,12.0,mg/L,0.0,NPM/100mL,0.126,mg/L,,,,,0.089,mg/L,0.121,mg/L,0.0,mg/L,0.0,mg/L,0.0,mg/L,,mg/L,5.3,mg/L,,mg/L,8.0,mg/L,,,,9.0,mg/L,,,,,,,mg/L,27.8,°C,,m,9.78,NTU,,,,,8.5,mg/L,0.0,mg/L,-18.732783800131944,-51.003284514940056
CLA-ETE,2020-04-01,12.0,mg/L,0.15,mg/L,500.0,mg/L,,μg/L,0.001,mg/L,,,15000.0,NMP/100mL,42.0,μS/cm,200.0,UC,3.42,mg/L,595.88,mg/L,14.0,mg/L,500.0,NPM/100mL,0.825,mg/L,,,,,0.862,mg/L,1.284,mg/L,0.093,mg/L,0.019,mg/L,0.645,mg/L,,mg/L,4.5,mg/L,,mg/L,16.0,mg/L,,mg/L,,24.0,mg/L,,,mg/L,,mg/L,,mg/L,27.9,°C,,m,37.22,NTU,,,,,9.0,mg/L,0.0,mg/L,-18.567897827162238,-51.110681871352824
CLA-01,2020-07-15,8.0,mg/L,0.001,mg/L,4.0,mg/L,0.4,μg/L,0.001,mg/L,,,640.0,NMP/100mL,15.0,μS/cm,22.0,UC,0.98,mg/L,16.23,mg/L,8.0,mg/L,0.0,NPM/100mL,0.1,mg/L,,,,,0.1,mg/L,0.001,mg/L,0.16,mg/L,0.001,mg/L,0.012,mg/L,0.12,mg/L,5.4,mg/L,,mg/L,0.001,mg/L,,,,7.0,mg/L,,,,,,7.0,mg/L,21.2,°C,1.6,m,1.86,NTU,,,,,8.0,mg/L,0.0,mg/L,-18.40471469720768,-51.22287716980235
