"ponto","data","Condutividade_Eletrica","Oxigenio_dissolvido","Deficit_oxigenio_dissolvido","Temperatura_agua","Transparencia","Turbidez","pH","Profundidade","Clorofila_a","Fosforo_total","Nitrogenio_total","Solidos_suspensao","Alcalinidade_total","Nitrato_total","Demanda_bioquimica_oxigenio","Solidos_dissolvidos_totais","Potencial_redox","Manganes_total","Coliformes_termotolerantes","Cor_verdadeira","Ferro_dissolvido","Demanda_quimica_oxigenio","Oleos_Graxas","Densidade_cianobacterias","Solidos_totais","Indice_estado_trofico","Sulfeto","Sulfato_total","IQA ","Surfactantes"
"TM25S","5/22/2019","","6.03","","27.6","","","6.95","0.2","1.07","0.01","0.5","10","42.7","0.14","3","57","102","0.02","5","10","0.1","26","2.5","","83.5","","0.002","1.59","","0.3"
"TM50S","8/20/2019","","6.65","","20.9","","","6.35","0.2","1.07","0.01","0.3","21","30.7","0.02","3","63","109","0.03","2600","10","0.1","26","2.5","","84","","0.002","7.31","","0.3"
"TM55S","8/20/2019","","6.66","","23.8","","","6.9","0.2","1.07","0.01","0.4","20","40.3","0.02","3","61.5","35","0.02","300","10","0.1","26","2.5","","81.5","","0.002","1","","0.3"
"TM45S","8/20/2019","","6.45","","23.3","","","7.66","0.2","1.07","0.01","0.2","11.8","29.1","0.02","3","48","53","0.02","55","10","0.1","26","2.5","","59.8","","0.002","1.12","","0.3"
"TM15ZF","8/21/2019","","6.4","","24.4","","","7.6","4.5","","","","","","","","","16.1","","","","","","","","","","","","",""
"TM15F","8/21/2019","","4.38","","22.9","","","7.59","24","","","","","","","","","30.2","","","","","","","","","","","","",""
"TM15S","8/21/2019","","6.5","","24.6","","","7.68","0.2","1.07","0.01","0.3","8.5","34.8","0.02","3","67","23.7","0.02","1","10","0.1","26","2.5","","75.5","","0.002","1.2","","0.3"
"TM20F","8/21/2019","","5.02","","22.9","","","7.74","25","","","","","","","","","38","","","","","","","","","","","","",""
"TM20ZF","8/21/2019","","6.23","","23.8","","","7.74","6","","","","","","","","","10","","","","","","","","","","","","",""
"TM20S","8/21/2019","","6.88","","24.1","","","7.78","0.2","1.07","0.05","0.5","7","36.4","0.15","3","55.5","23","0.02","1","10","0.1","26","2.5","","57.5","","0.002","1.34","","0.3"
"TM25ZF","8/21/2019","","6","","24","","","7.65","4.5","","","","","","","","","12","","","","","","","","","","","","",""
"TM25F","8/21/2019","","3.53","","22.8","","","7.64","29","","","","","","","","","33.4","","","","","","","","","","","","",""
"TM25S","8/21/2019","","6.93","","24.3","","","7.69","0.2","1.07","0.01","0.3","7","33.1","0.14","3","65.5","22","0.02","1","10","0.1","26","2.5","","67.5","","0.002","1.56","","0.3"
"TM30ZF","8/22/2019","","6.43","","23.5","","","7.58","6","","","","","","","","","16","","","","","","","","","","","","",""
"TM30F","8/22/2019","","5.01","","23","","","7.6","10.5","","","","","","","","","35","","","","","","","","","","","","",""
"TM30S","8/22/2019","","7.05","","24.5","","","7.58","0.2","1.07","0.01","0.4","7","31.1","0.13","3","48","21","0.02","1","10","0.1","26","2.5","","53","","0.002","1.09","","0.3"
"TM35ZF","8/22/2019","","5.35","","23.8","","","7.66","7.5","","","","","","","","","8","","","","","","","","","","","","",""
"TM35S","8/22/2019","","6.87","","24.3","","","7.68","0.2","1.07","0.01","0.3","7","30.2","0.02","3","52.5","23","0.02","1","10","0.1","26","2.5","","52.5","","0.002","1","","0.3"
"TM35F","8/22/2019","","2.83","","22.6","","","7.7","33","","","","","","","","","85","","","","","","","","","","","","",""
"TM40ZF","8/22/2019","","5.32","","24","","","7.58","7.5","","","","","","","","","10","","","","","","","","","","","","",""
"TM40F","8/22/2019","","0","","22.4","","","7.7","53","","","","","","","","","135","","","","","","","","","","","","",""
"TM40S","8/22/2019","","6.8","","24.4","","","7.42","0.2","1.07","0.01","0.3","7","29.2","0.02","3","53","35","0.02","1","10","0.1","26","2.5","","58","","0.002","1.1","","0.3"
"TM55S","11/19/2019","","6.97","","25.9","","","7.72","0.2","2.67","0.32","0.7","","","","3","","199","","","","","","","","","","","","",""
"TM50S","11/19/2019","","5.38","","25.2","","","6.19","0.2","1.07","0.06","0.5","","","","3","","65","","","","","","","","","","","","",""
"TM45S","11/19/2019","","4.72","","24.9","","","6.63","0.2","1.07","0.01","0.5","","","","3","","78","","","","","","","","","","","","",""
"TM25S","11/20/2019","","7.06","","28.4","","","6.09","0.2","1.07","0.01","0.4","","","","3","","72","","","","","","","","","","","","",""
"TM40S","11/20/2019","","6.98","","28.5","","","6.55","0.2","1.07","0.01","0.3","","","","3","","26","","","","","","","","","","","","",""
"TM15S","11/20/2019","","7.14","","28.4","","","6.7","0.2","1.07","0.01","0.5","","","","3","","53","","","","","","","","","","","","",""
"TM35S","11/21/2019","","6.96","","28.5","","","6.28","0.2","1.07","0.01","0.5","","","","3","","90","","","","","","","","","","","","",""
"TM30S","11/21/2019","","6.76","","28.5","","","6.85","0.2","1.07","0.01","0.4","","","","3","","20","","","","","","","","","","","","",""
"TM15S","2/9/2020","","8.13","","30.7","","","7.61","0.2","1.07","0.01","0.5","7","31","0.02","3","92","121","0.02","4","12","0.16","26","2.5","","98.5","","0.002","3.88","","0.3"
"TM55S","2/18/2020","","5.13","","25.8","","","5.35","0.2","1.07","3.3","0.4","6393","17.2","0.02","3","63.2","274","1.23","16200","73","4.18","33","2.5","","6456","","0.002","2.4","","0.3"
"TM45S","2/18/2020","","4.39","","25.2","","","6.52","0.2","1.07","0.01","0.7","20","32","0.02","3","57.5","31","0.33","125","16","0.86","26","2.5","","77.5","","0.002","2.39","","0.3"
"TM20F","2/19/2020","","1.85","","21","","","4.5","40","","","","","","","","","21","","","","","","","","","","","","",""
"TM20ZF","2/19/2020","","7.44","","28.6","","","6.89","9","","","","","","","","","104","","","","","","","","","","","","",""
"TM15F","2/19/2020","","0.54","","24","","","4.03","43","","","","","","","","","12","","","","","","","","","","","","",""
"TM15ZF","2/19/2020","","4.98","","29.8","","","7.84","9","","","","","","","","","128","","","","","","","","","","","","",""
"TM20S","2/19/2020","","8.37","","28.3","","","7.59","0.2","1.07","0.01","0.4","7","30.8","0.02","3","94.5","115","0.02","1","20","0.23","26","2.5","","99","","0.002","3.33","","0.3"
"TM25F","2/19/2020","","0.26","","21","","","2.53","55","","","","","","","","","0","","","","","","","","","","","","",""
"TM15ZF","2/19/2020","","4.4","","26","","","7.28","12","","","","","","","","","115","","","","","","","","","","","","",""
"TM25S","2/19/2020","","7.05","","31","","","7.04","0.2","1.07","0.01","0.5","7","31","0.08","3","87.5","145","0.02","1","10","0.1","29","2.5","","94.5","","0.002","4.91","","0.3"
"TM35ZF","2/20/2020","","4.85","","26","","","6.59","12","","","","","","","","","110","","","","","","","","","","","","",""
"TM35S","2/20/2020","","5.36","","29.1","","","7.5","0.2","1.07","0.01","0.3","7","32.2","0.02","3","39","119","0.02","13","10","0.1","26","2.91","","40.5","","1.44","","","0.3"
"TM35F","2/20/2020","","0.49","","22","","","8.13","80","","","","","","","","","0","","","","","","","","","","","","",""
"TM30ZF","2/20/2020","","5.15","","27.2","","","7.17","9","","","","","","","","","115","","","","","","","","","","","","",""
"TM30F","2/20/2020","","0.7","","22","","","8.52","60","","","","","","","","","0","","","","","","","","","","","","",""
"TM30S","2/20/2020","","6.25","","30.3","","","7.47","0.2","1.07","0.02","0.3","7","33.5","0.02","3","50.5","94","","13","10","0.1","26","2.5","","56.5","","0.002","1.39","","0.3"
"TM40F","2/20/2020","","0.18","","23","","","8.3","60","","","","","","","","","24","","","","","","","","","","","","",""
"TM40ZF","2/20/2020","","5.66","","26","","","7.6","15","","","","","","","","","100","","","","","","","","","","","","",""
"TM50S","2/20/2020","","7.4","","26","","","6.62","0.2","1.07","0.01","0.5","7","30.8","0.02","3","59.5","74","0.32","","15","0.79","26","2.5","","64","","0.002","4.32","",""
"TM40S","2/21/2020","","6.1","","28","","","6.43","0.2","1.07","0.01","0.2","7","31.3","0.02","3","46","126","0.02","1","10","0.1","26","26","","48.5","","0.002","1.11","","0.3"
"TM55S","5/5/2020","","6.51","","23.9","","","7.02","0.2","1.07","0.01","0.3","","","","3","","23","","","","","","","","","","","","",""
"TM45S","5/5/2020","","6.55","","25.3","","","7.26","0.2","1.07","0.03","0.6","","","","3","","21","","","","","","","","","","","","",""
"TM50S","5/5/2020","","6.85","","26.1","","","7.08","0.2","1.07","0.03","0.7","","","","3","","19","","","","","","","","","","","","",""
"TM30S","5/6/2020","","6.9","","26.1","","","7.47","0.2","1.07","0.01","0.4","","","","3","","23","","","","","","","","","","","","",""
"TM30ZF","5/6/2020","","6.3","","26.4","","","7.34","3.9","","","","","","","","","22","","","","","","","","","","","","",""
"TM30F","5/6/2020","","5.96","","25.7","","","7.38","15","","","","","","","","","20","","","","","","","","","","","","",""
"TM35S","5/6/2020","","6.5","","26.6","","","7.3","0.2","1.07","0.01","0.3","","","","3","","25","","","","","","","","","","","","",""
"TM35ZF","5/6/2020","","5.83","","25.9","","","7.38","6","","","","","","","","","19.3","","","","","","","","","","","","",""
"TM35F","5/6/2020","","0.3","","24.8","","","7.61","55","","","","","","","","","0","","","","","","","","","","","","",""
"TM40S","5/6/2020","","7.38","","26.7","","","7.36","0.2","1.07","0.02","0.4","","","","3","","25","","","","","","","","","","","","",""
"TM40ZF","5/6/2020","","7","","26.3","","","7.33","6.75","","","","","","","","","23","","","","","","","","","","","","",""
"TM40F","5/6/2020","","0","","24","","","6.95","70","","","","","","","","","0","","","","","","","","","","","","",""
"TM15S","5/7/2020","","6.8","","26","","","7.23","0.2","1.07","0.01","","","","","3","","20","","","","","","0.3","","","","","","",""
"TM15ZF","5/7/2020","","6","","25.9","","","6.99","4.5","","","","","","","","","10","","","","","","","","","","","","",""
"TM15F","5/7/2020","","0.2","","24.9","","","7.5","55","","","","","","","","","0","","","","","","","","","","","","",""
"TM20S","5/7/2020","","6.7","","26","","","7.4","0.2","1.07","0.02","0.5","","","","3","","23","","","","","","","","","","","","",""
"TM20ZF","5/7/2020","","6.6","","25.4","","","7.36","4.5","","","","","","","","","18","","","","","","","","","","","","",""
"TM20ZF","5/7/2020","","3.1","","24.9","","","7.52","45","","","","","","","","","0","","","","","","","","","","","","",""
"TM25S","5/7/2020","","6.9","","26.3","","","7.44","0.2","1.07","0.01","0.5","","","","3","","20","","","","","","","","","","","","",""
"TM25ZF","5/7/2020","","6.8","","18","","","7.46","3.75","","","","","","","","","18","","","","","","","","","","","","",""
"TM25F","5/7/2020","","3.45","","24","","","7.38","40","","","","","","","","","0","","","","","","","","","","","","",""
"TM15S","8/26/2020","53.5","9.83","99","22.8","5","4.8","7.55","0.2","1.05","0.009","0.3","6.99","32.4","0.14","2","40","208","0.0199","0.9","9","0.09","25","2.49","","45","","0.00199","3.02","","0.0299"
"TM20S","8/26/2020","48.7","8.58","89","22.8","5","6.3","7.58","0.2","1.05","0.01","0.4","6.99","34","0.19","2","69","161","0.0199","4","9","0.09","25","2.49","","75.5","","0.00199","3.06","","0.0299"
"TM25S","8/26/2020","48.9","9.06","99","23.8","5","2.78","7.59","0.2","2.14","0.009","0.4","23","30.1","0.25","2","67","135","0.0199","0.9","9","0.09","25","2.49","","90","","0.00199","3.55","","0.0299"
"TM30S","8/27/2020","42.9","7.48","84","23.1","5","2.57","7.35","0.2","3.2","0.02","0.3","29","30.5","0.16","2","54","179","0.0199","0.9","9","0.09","25","2.49","","83","","0.00199","1.15","","0.0299"
"TM35S","8/27/2020","40.9","8.14","95","23.5","5","5.21","7.48","0.2","1.05","0.009","0.3","31.5","29.6","0.13","2","59","162","0.0199","0.9","9","0.09","25","2.49","","90.5","","0.00199","1.09","","0.0299"
"TM40S","8/26/2020","45.9","8.76","88","22.8","6","2.78","7.46","0.2","1.05","0.009","0.3","6.99","29.7","0.15","2","47.5","159","0.0199","0.9","9","0.09","25","2.49","","52.5","","0.00199","1.15","","0.0299"
"TM45S","8/25/2020","59.3","8.02","89","22.6","","4.35","7.54","0.2","1.05","0.009","0.4","14.5","30","0.17","2","63","221","0.0199","8","9","0.09","25","2.49","","77.5","","0.00199","3.15","","0.0299"
"TM50S","8/25/2020","69.7","6.85","85","23.2","","7.43","7.56","0.2","1.05","0.02","0.9","22.5","23.9","0.18","2","83.5","210","0.02","66","9","0.12","25","2.49","","106","","0.00199","7.56","","0.0299"
"TM55S","8/25/2020","57.8","7.8","84","22","","5.36","7.68","0.2","2.14","0.02","0.3","16.5","33.8","0.07","2","62","215","0.03","22","9","0.13","71","2.49","","78.5","","0.00199","2.39","","0.0299"
"TM15F","8/26/2020","55","5","3.6","22.1","","42","7.02","38","","","","","","","","","100","","","","","","","","","","","","",""
"TM15ZF","8/26/2020","55","6","2.6","22.5","","4.1","7.5","7.5","","","","","","","","","188","","","","","","","","","","","","",""
"TM20F","8/26/2020","49.3","5.12","3.5","22","","6.18","7.45","33","","","","","","","","","156","","","","","","","","","","","","",""
"TM20ZF","8/26/2020","48.5","7.3","1.3","22.4","","3.79","7.52","7.5","","","","","","","","","147","","","","","","","","","","","","",""
"TM25F","8/26/2020","47.5","6.01","2.6","22.5","","2.55","7.3","27","","","","","","","","","100","","","","","","","","","","","","",""
"TM25ZF","8/26/2020","47","8.6","-0.1","23","","5.03","7.42","7.5","","","","","","","","","120","","","","","","","","","","","","",""
"TM30F","8/27/2020","43.3","6.8","1.8","22.5","","27.7","7.1","7.5","","","","","","","","","158","","","","","","","","","","","","",""
"TM30ZF","8/27/2020","42.5","5.85","2.7","22.8","","6.12","6.89","30","","","","","","","","","158","","","","","","","","","","","","",""
"TM35F","8/27/2020","40.8","6.35","2.1","23","","11","7.02","30","","","","","","","","","146","","","","","","","","","","","","",""
"TM35ZF","8/27/2020","40.1","7.13","1.3","23.4","","3.39","7.12","7.5","","","","","","","","","150","","","","","","","","","","","","",""
"TM40F","8/26/2020","46","0","8.7","22","","31.4","6.7","75","","","","","","","","","99","","","","","","","","","","","","",""
"TM40ZF","8/26/2020","46","7.76","0.6","22.5","","2.63","7.35","9","","","","","","","","","150","","","","","","","","","","","","",""
"TM15S","12/1/2020","115","8.98","","28.8","2","7.59","7.85","0.2","1.06","0.02","0.6","","","","2.99","","58","","","","","","","","","","","","",""
"TM20S","12/1/2020","115","8.14","","28.9","0.5","49.6","8.03","0.2","2.14","0.04","0.8","","","","2.99","","11","","","","","","","","","","","","",""
"TM25S","12/1/2020","128","7.76","","28.8","3","5.11","7.9","0.2","1.06","0.099","0.8","","","","2.99","","41","","","","","","","","","","","","",""
"TM30S","12/3/2020","100","7.17","","28.7","1.5","6.07","7.91","0.2","1.06","0.099","0.3","","","","2.99","","23","","","","","","","","","","","","",""
"TM35S","12/3/2020","105","7.65","","27.8","2","3.53","7.8","0.2","1.06","0.099","0.3","","","","2.99","","160","","","","","","","","","","","","",""
"TM40S","12/1/2020","99","7.98","","28.9","4","1.98","7.85","0.2","1.06","0.099","0.9","","","","2.99","","58","","","","","","","","","","","","",""
"TM45S","12/2/2020","107","6.91","","24.3","","1.01","7.47","0.2","1.06","0.099","0.4","","","","2.99","","75","","","","","","","","","","","","",""
"TM50S","12/2/2020","125","7.98","","24.1","","1.5","7.38","0.2","1.06","0.01","0.3","","","","2.99","","98","","","","","","","","","","","","",""
"TM55S","12/3/2020","122","6.08","","29","","107","7.34","0.2","1.06","0.09","0.6","","","","2.99","","50","","","","","","","","","","","","",""
"TM15F","12/1/2020","147","0","","23.9","","47.3","7.28","45","","","","","","","","","0","","","","","","","","","","","","",""
"TM15ZF","12/1/2020","116","7.3","","28.7","","7.24","7.81","3","","","","","","","","","60","","","","","","","","","","","","",""
"TM20F","12/1/2020","120","0.26","","26.4","","101","7.34","20","","","","","","","","","40","","","","","","","","","","","","",""
"TM20ZF","12/1/2020","107","7.33","","28.7","","48.6","7.99","0.75","","","","","","","","","17","","","","","","","","","","","","",""
"TM25F","12/1/2020","115","1.2","","25.3","","93.7","7.27","22","","","","","","","","","71","","","","","","","","","","","","",""
"TM25ZF","12/1/2020","131","6.8","","28","","6.35","7.83","4.5","","","","","","","","","49","","","","","","","","","","","","",""
"TM30F","12/3/2020","107","5.85","","26.6","","10.1","7.86","3","","","","","","","","","28","","","","","","","","","","","","",""
"TM30ZF","12/3/2020","99","7.02","","28.7","","4.49","7.89","1.5","","","","","","","","","27","","","","","","","","","","","","",""
"TM35F","12/3/2020","101","0","","24","","1.33","6.98","23","","","","","","","","","149","","","","","","","","","","","","",""
"TM35ZF","12/3/2020","28","6.04","","28","","2.22","7.84","3","","","","","","","","","145","","","","","","","","","","","","",""
"TM40F","12/1/2020","111","0","","23","","1.74","7.3","43","","","","","","","","","66","","","","","","","","","","","","",""
"TM40ZF","12/1/2020","98","6.9","","27.7","","2.42","7.72","6","","","","","","","","","48","","","","","","","","","","","","",""
"TM15S","2/2/2021","88","6.42","90.1","30.2","1.5","4.13","8.35","0.2","3.2","0.01","0.3","22.5","32.2","0.019","2.99","59.5","13.1","0.019","0.99","12","0.09","25.9","2.49","","82","","0.0019","1.44","","0.29"
"TM20S","2/2/2021","90","5.9","82","29.4","0.8","10.7","7.77","0.5","5.34","0.02","0.6","14","34.1","0.24","2.99","81.5","58","0.019","0.99","31","0.16","25.9","2.49","","95.5","","0.0019","1.21","","0.29"
"TM25S","2/2/2021","88","5.62","81","31.5","1","14.1","7.74","0.2","6.41","0.02","0.6","7","27.1","0.36","2.99","62.5","36.7","0.019","0.99","23","0.09","25.9","2.49","","69.5","","0.0019","3.46","","0.29"
"TM30S","2/3/2021","87","5.88","88.5","31.2","1.2","5.79","7.91","0.2","9.61","0.01","0.5","18","31.6","0.019","2.99","62","91.3","0.019","0.99","9.99","0.09","25.9","2.49","","80","","0.0019","1.71","","0.29"
"TM35S","2/3/2021","80","5.66","80.5","30.5","3","2.28","7.84","0.2","3.2","0.0099","0.2","7","30","0.019","2.99","47","71.7","0.019","0.99","9.99","0.09","25.9","2.49","","54","","0.0019","1.29","","0.29"
"TM40S","2/3/2021","78","5.45","76.1","29.6","4.5","1.64","7.81","0.2","1.06","0.0099","0.3","13","28.7","0.019","2.99","52.5","14.8","0.019","0.99","9.99","0.09","25.9","2.49","","65.5","","0.0019","1.47","","0.29"
"TM45S","2/4/2021","165","4.66","54.7","26","","9.97","5.96","0.2","1.06","0.02","1.7","12","32.3","0.02","2.99","66","41.9","0.13","2","14","0.12","25.9","2.49","","78","","0.0019","1.15","","0.29"
"TM50S","2/4/2021","12","6.13","82","26.6","","9.71","6.91","0.2","1.06","0.01","0.4","10","31.4","0.019","2.99","60","54.9","0.12","0.99","10","0.09","49","2.49","","70","","0.0019","11.2","","0.29"
"TM55S","2/4/2021","98","5.18","82","28.9","","12","8.22","0.2","8.54","0.02","0.2","26.5","38.4","0.019","2.99","70.5","82","0.02","2","20","0.09","25.9","2.49","","97","","0.0019","0.99","","0.29"
"TM15F","2/2/2021","77","0","","26.4","","104","6.9","25","","","","","","","","","0","","","","","","","","","","","","",""
"TM15ZF","2/2/2021","88","6.4","","30","","4.91","8.23","2.25","","","","","","","","","29","","","","","","","","","","","","",""
"TM20F","2/2/2021","84","2.98","","27.3","","33.6","7.11","17","","","","","","","","","73.4","","","","","","","","","","","","",""
"TM20ZF","2/2/2021","167","4.2","","28.6","","13.6","7.59","1.2","","","","","","","","","51","","","","","","","","","","","","",""
"TM25F","2/2/2021","90","0","","25.9","","34","6.33","17","","","","","","","","","93","","","","","","","","","","","","",""
"TM25ZF","2/2/2021","89","5.52","","30.2","","9.79","7.73","1.5","","","","","","","","","46","","","","","","","","","","","","",""
"TM30F","2/3/2021","85","4.83","","30.6","","13.4","8.07","2.5","","","","","","","","","68.8","","","","","","","","","","","","",""
"TM30ZF","2/3/2021","87","5.44","","31.6","","5.02","8.06","0.2","","","","","","","","","84.7","","","","","","","","","","","","",""
"TM35F","2/3/2021","109","0","","24.2","","100","6.71","35","","","","","","","","","58","","","","","","","","","","","","",""
"TM35ZF  ","2/3/2021","81","5.89","","30.1","","2.51","7.89","4.5","","","","","","","","","77.3","","","","","","","","","","","","",""
"TM40F","2/3/2021","93","0","","23.5","","57.7","6.01","50","","","","","","","","","0","","","","","","","","","","","","",""
"TM40ZF  ","2/3/2021","77","5.84","","29.7","","1.65","7.46","0.2","","","","","","","","","58.5","","","","","","","","","","","","",""
"TM20S","8/25/2021","86","7.83","0.6","23.2","3","6.22","7.9","0.2","2.14","0","0.6","6.99","40.4","0.24","2.99","69.5","0","0.0199","0.99","9.99","0.099","25.99","2.49","","72.5","","0.00199","2.09","","0.299"
"TM25S","8/25/2021","92","8.66","-0.4","24.5","3","3.2","7.29","0.2","8.54","0","0.7","6.99","34","0.28","2.99","56.5","0","0.0199","12","9.99","0.099","25.99","2.49","","59.5","","0.00199","3.14","","0.299"
"TM30S","8/26/2021","49","6.1","2.1","24.9","1","1.82","6.1","0.2","1,069","0","0.5","6.99","31.7","0.11","2.99","49","0","0.0199","6","9.99","0.099","25.99","2.49","","53.5","","0.00199","3.08","","0.299"
"TM35S","8/26/2021","82","6.8","1.5","24.3","4","0.89","5.14","0.2","2.14","0","0.4","6.99","30","0.09","2.99","60","0","0.0199","4","9.99","0.099","25.99","2.49","","65","","0.00199","2.91","","0.299"
"TM40S","8/26/2021","63","8.4","-0.2","25","4","0.83","6.35","0.2","2.14","0","0.5","6.99","29.5","0.09","2.99","50.5","81","0.0199","68","9.99","0.099","25.99","2.49","","57.5","","0.00199","2.89","","0.299"
"TM45S","8/24/2021","35","7.02","1.6","22.3","","1.5","7.39","0.2","1,069","0","0.5","6.99","30.2","0.16","2.99","66.5","0","0.0199","24","9.99","0.099","25.99","2.49","","71.5","","0.00199","2.96","","0.299"
"TM50S","8/24/2021","84","6.43","2.2","22.5","","1.95","7.25","0.2","1,069","0","0.5","6.99","30.8","0.17","2.99","60","0","0.0199","4","9.99","0.099","25.99","2.49","","64.5","","0.00199","9.58","","0.299"
"TM55S","8/24/2021","102","8.12","0.2","23.9","","3.68","7.66","0.2","1,069","0","0.3","6.99","42.3","0.0199","2.99","66.5","0","0.0199","34","9.99","0.099","25.99","2.49","","69.5","","0.00199","2.18","","0.299"
"TM15ZF","8/25/2021","63","9","-0.6","23.4","","6.92","8.03","4.5","","","","","","","","","0","","","","","","","","","","","","",""
"TM15F","8/25/2021","95","2.47","6.3","21.3","","5.3","7.6","17","","","","","","","","","0","","","","","","","","","","","","",""
"TM20ZF","8/25/2021","65","7.7","0.8","23.2","","4.08","6.89","4.5","","","","","","","","","0","","","","","","","","","","","","",""
"TM20F","8/25/2021","113","3.92","4.8","21.8","","5.03","5.4","19","","","","","","","","","0","","","","","","","","","","","","",""
"TM25ZF","8/25/2021","84","7.6","0.9","23.1","","4.83","7.05","4.5","","","","","","","","","0","","","","","","","","","","","","",""
"TM25F","8/25/2021","89","3.8","5","21.4","","5.95","7.95","24","","","","","","","","","0","","","","","","","","","","","","",""
"TM30ZF","8/26/2021","45","8.7","-0.5","24.7","","1.61","5.7","1","","","","","","","","","0","","","","","","","","","","","","",""
"TM30F","8/26/2021","45","5.7","2.5","24.7","","4.26","5.7","1","","","","","","","","","0","","","","","","","","","","","","",""
"TM35ZF","8/26/2021","72","6.35","2","23.8","","1.05","5.6","6","","","","","","","","","106","","","","","","","","","","","","",""
"TM35F","8/26/2021","68","3.38","5.3","21.8","","1.32","5.8","25","","","","","","","","","0","","","","","","","","","","","","",""
"TM40ZF","8/26/2021","59","7.43","0.9","24.2","","1.58","6.4","6","","","","","","","","","370","","","","","","","","","","","","",""
"TM40F","8/26/2021","60","4.9","3.8","22","","2.33","5.9","34","","","","","","","","","241","","","","","","","","","","","","",""