latitude,longitude,turbidez,clorofila,data
-18.22376,-45.26183,4.12,,2016-04-29
-18.88812,-45.20045,3.55,,2016-05-03
-18.89833,-45.12083,3.35,,2016-05-03
-18.8325,-45.13306,7.19,,2016-05-03
-18.57222,-45.26083,4.03,,2016-05-04
-18.48928,-45.42733,8.29,,2016-05-04
-18.88812,-45.20045,5.49,,2016-08-25
-18.89833,-45.12083,8.31,,2016-08-25
-18.8325,-45.13306,2.75,,2016-08-25
-18.57222,-45.26083,6.2,,2016-08-24
-18.48928,-45.42733,3.4,,2016-08-25
-18.22376,-45.26183,1.79,,2016-08-23
-18.88812,-45.20045,6.91,,2016-11-08
-18.89833,-45.12083,27.1,,2016-11-09
-18.8325,-45.13306,7.43,,2016-11-09
-18.57222,-45.26083,7.69,,2016-11-08
-18.48928,-45.42733,3.93,,2016-11-09
-18.22376,-45.26183,2.76,,2016-11-08
-18.88812,-45.20045,8.48,,2017-02-17
-18.89833,-45.12083,29.6,,2017-02-17
-18.8325,-45.13306,9.64,,2017-02-17
-18.57222,-45.26083,3.71,,2017-02-16
-18.48928,-45.42733,5.18,,2017-02-16
-18.22376,-45.26183,6.6,,2017-02-16
-18.48928,-45.42733,5.54,,2018-02-28
-18.22376,-45.26183,3.19,,2018-02-27
-18.88812,-45.20045,10.1,,2018-03-02
-18.89833,-45.12083,14.2,,2018-03-02
-18.8325,-45.13306,4.98,,2018-03-02
-18.57222,-45.26083,6.61,,2018-03-01
-18.88812,-45.20045,4.78,,2018-05-17
-18.89833,-45.12083,3.92,,2018-05-17
-18.8325,-45.13306,8.89,,2018-05-17
-18.57222,-45.26083,3.5,,2018-05-16
-18.48928,-45.42733,9.18,,2018-05-16
-18.22376,-45.26183,5.88,,2018-05-15
-18.88812,-45.20045,2.99,,2018-08-23
-18.89833,-45.12083,3.21,,2018-08-23
-18.8325,-45.13306,4.21,,2018-08-22
-18.57222,-45.26083,3.41,,2018-08-22
-18.48928,-45.42733,2.95,,2018-08-22
-18.22376,-45.26183,2.33,,2018-08-21
-18.88812,-45.20045,9.3,,2018-11-22
-18.89833,-45.12083,51.7,,2018-11-22
-18.8325,-45.13306,3.06,,2018-11-22
-18.57222,-45.26083,4.39,,2018-11-21
-18.48928,-45.42733,3.19,,2018-11-21
-18.22376,-45.26183,3.38,,2018-11-20
-18.88812,-45.20045,4.65,,2019-02-28
-18.89833,-45.12083,5.53,,2019-02-28
-18.8325,-45.13306,4.46,,2019-02-28
-18.57222,-45.26083,4.02,,2019-02-27
-18.48928,-45.42733,2.1,,2019-02-27
-18.22376,-45.26183,2.13,,2019-02-27
-18.88812,-45.20045,2.74,,2019-05-22
-18.89833,-45.12083,6.38,,2019-05-22
-18.8325,-45.13306,4.47,,2019-05-22
-18.57222,-45.26083,3.1,,2019-05-22
-18.48928,-45.42733,6.86,,2019-05-21
-18.22376,-45.26183,2.92,,2019-05-21
-18.88812,-45.20045,1.03,,2019-08-21
-18.89833,-45.12083,0.89,,2019-08-21
-18.8325,-45.13306,1.6,,2019-08-21
-18.57222,-45.26083,1.61,,2019-08-22
-18.48928,-45.42733,0.53,,2019-08-22
-18.22376,-45.26183,0.82,,2019-08-22
-18.88812,-45.20045,3.59,,2019-11-20
-18.89833,-45.12083,3.56,,2019-11-20
-18.8325,-45.13306,3.23,,2019-11-20
-18.57222,-45.26083,9.08,,2019-11-21
-18.48928,-45.42733,7.81,,2019-11-21
-18.22376,-45.26183,1.08,,2019-11-20
-18.88812,-45.20045,6.34,,2020-02-19
-18.89833,-45.12083,10.5,,2020-02-19
-18.8325,-45.13306,3.53,,2020-02-19
-18.57222,-45.26083,3.08,,2020-02-20
-18.48928,-45.42733,1.3,,2020-02-20
-18.22376,-45.26183,2.3,,2020-02-21
-18.88812,-45.20045,5.65,,2020-05-07
-18.89833,-45.12083,6.6,,2020-05-07
-18.8325,-45.13306,6.73,,2020-05-07
-18.57222,-45.26083,5.1,,2020-05-06
-18.48928,-45.42733,3.78,,2020-05-06
-18.22376,-45.26183,3.99,,2020-05-06
-18.22376,-45.26183,,1.07,2016-04-29
-18.8325,-45.13306,,1.07,2016-05-03
-18.89833,-45.12083,,1.07,2016-05-03
-18.88812,-45.20045,,1.07,2016-05-03
-18.57222,-45.26083,,1.07,2016-05-04
-18.48928,-45.42733,,1.07,2016-05-04
-18.22376,-45.26183,,1.07,2016-08-23
-18.57222,-45.26083,,1.07,2016-08-24
-18.8325,-45.13306,,1.07,2016-08-25
-18.89833,-45.12083,,1.07,2016-08-25
-18.48928,-45.42733,,1.07,2016-08-25
-18.22376,-45.26183,,1.07,2016-11-08
-18.88812,-45.20045,,1.07,2016-11-08
-18.57222,-45.26083,,1.07,2016-11-08
-18.8325,-45.13306,,1.07,2016-11-09
-18.89833,-45.12083,,1.07,2016-11-09
-18.48928,-45.42733,,1.07,2016-11-09
-18.57222,-45.26083,,1.07,2017-02-16
-18.48928,-45.42733,,1.07,2017-02-16
-18.22376,-45.26183,,1.07,2017-02-16
-18.8325,-45.13306,,1.07,2017-02-17
-18.89833,-45.12083,,2.14,2017-02-17
-18.88812,-45.20045,,1.07,2017-02-17
-18.22376,-45.26183,,1.07,2018-02-27
-18.48928,-45.42733,,1.07,2018-02-28
-18.57222,-45.26083,,1.07,2018-03-01
-18.8325,-45.13306,,1.07,2018-03-02
-18.88812,-45.20045,,1.07,2018-03-02
-18.89833,-45.12083,,1.07,2018-03-02
-18.22376,-45.26183,,1.07,2018-05-15
-18.48928,-45.42733,,1.07,2018-05-16
-18.57222,-45.26083,,1.07,2018-05-16
-18.88812,-45.20045,,1.07,2018-05-17
-18.89833,-45.12083,,1.07,2018-05-17
-18.8325,-45.13306,,1.07,2018-05-17
-18.22376,-45.26183,,57.7,2018-08-21
-18.57222,-45.26083,,19.2,2018-08-22
-18.8325,-45.13306,,1.07,2018-08-22
-18.48928,-45.42733,,1.07,2018-08-22
-18.89833,-45.12083,,1.07,2018-08-23
-18.88812,-45.20045,,1.07,2018-08-23
-18.22376,-45.26183,,1.07,2018-11-20
-18.48928,-45.42733,,1.07,2018-11-21
-18.57222,-45.26083,,3.2,2018-11-21
-18.8325,-45.13306,,1.07,2018-11-22
-18.89833,-45.12083,,1.07,2018-11-22
-18.48928,-45.42733,,1.07,2019-02-27
-18.22376,-45.26183,,1.07,2019-02-27
-18.57222,-45.26083,,1.07,2019-02-27
-18.88812,-45.20045,,1.07,2019-02-28
-18.8325,-45.13306,,1.07,2019-02-28
-18.89833,-45.12083,,1.07,2019-02-28
-18.48928,-45.42733,,1.07,2019-05-21
-18.22376,-45.26183,,1.07,2019-05-21
-18.57222,-45.26083,,1.07,2019-05-22
-18.89833,-45.12083,,1.07,2019-05-22
-18.8325,-45.13306,,1.07,2019-05-22
-18.88812,-45.20045,,1.07,2019-08-21
-18.89833,-45.12083,,1.07,2019-08-21
-18.8325,-45.13306,,1.07,2019-08-21
-18.57222,-45.26083,,1.07,2019-08-22
-18.48928,-45.42733,,1.07,2019-08-22
-18.22376,-45.26183,,1.07,2019-08-22
-18.8325,-45.13306,,1.07,2019-11-20
-18.22376,-45.26183,,1.07,2019-11-20
-18.88812,-45.20045,,1.07,2019-11-20
-18.48928,-45.42733,,1.07,2019-11-21
-18.57222,-45.26083,,1.07,2019-11-21
-18.88812,-45.20045,,1.07,2020-02-09
-18.89833,-45.12083,,1.07,2020-02-19
-18.8325,-45.13306,,1.07,2020-02-19
-18.48928,-45.42733,,1.07,2020-02-20
-18.57222,-45.26083,,1.07,2020-02-20
-18.22376,-45.26183,,1.07,2020-02-21
-18.57222,-45.26083,,1.07,2020-05-06
-18.48928,-45.42733,,1.07,2020-05-06
-18.22376,-45.26183,,1.07,2020-05-06
-18.88812,-45.20045,,1.07,2020-05-07
-18.89833,-45.12083,,1.07,2020-05-07
-18.8325,-45.13306,,1.07,2020-05-07
-18.88812,-45.20045,4.8,1.05,2020-08-26
-18.89833,-45.12083,6.3,1.05,2020-08-26
-18.8325,-45.13306,2.78,2.14,2020-08-26
-18.57222,-45.26083,2.57,3.2,2020-08-27
-18.48928,-45.42733,5.21,1.05,2020-08-27
-18.22376,-45.26183,2.78,1.05,2020-08-26
-18.88812,-45.20045,7.59,1.06,2020-12-01
-18.89833,-45.12083,49.6,2.14,2020-12-01
-18.8325,-45.13306,5.11,1.06,2020-12-01
-18.57222,-45.26083,6.07,1.06,2020-12-03
-18.48928,-45.42733,3.53,1.06,2020-12-03
-18.22376,-45.26183,1.98,1.06,2020-12-01
-18.88812,-45.20045,4.13,3.2,2021-02-02
-18.89833,-45.12083,10.7,5.34,2021-02-02
-18.8325,-45.13306,14.1,6.41,2021-02-02
-18.57222,-45.26083,5.79,9.61,2021-02-03
-18.48928,-45.42733,2.28,3.2,2021-02-03
-18.22376,-45.26183,1.64,1.06,2021-02-03
-18.89833,-45.12083,6.22,2.14,2021-08-25
-18.8325,-45.13306,3.2,8.54,2021-08-25
-18.57222,-45.26083,1.82,1.069,2021-08-26
-18.48928,-45.42733,0.89,2.14,2021-08-26
-18.22376,-45.26183,0.83,2.14,2021-08-26
-18.88812,-45.20045,4.17,,2022-06-01
-18.88812,-45.20045,4.78,,2022-11-01
-18.88812,-45.20045,10.1,,2023-02-16
-18.88812,-45.20045,278.6,,2022-08-24
-18.88812,-45.20045,1.03,,2019-08-21
-18.88812,-45.20045,2.74,,2019-05-22
-18.88812,-45.20045,2.99,,2018-08-23
-18.88812,-45.20045,3.43,,2021-08-25
-18.88812,-45.20045,3.55,,2016-05-03
-18.88812,-45.20045,3.59,,2019-01-20
-18.88812,-45.20045,4.13,,2021-02-02
-18.88812,-45.20045,4.65,,2019-02-28
-18.88812,-45.20045,4.78,,2018-05-17
-18.88812,-45.20045,4.8,,2020-08-26
-18.88812,-45.20045,5.49,,2016-08-25
-18.88812,-45.20045,5.65,,2020-05-07
-18.88812,-45.20045,6.23,,2021-01-30
-18.88812,-45.20045,6.34,,2020-02-19
-18.88812,-45.20045,6.91,,2016-01-08
-18.88812,-45.20045,7.59,,2020-02-01
-18.88812,-45.20045,8.48,,2017-02-17
-18.88812,-45.20045,9.3,,2018-01-22
-18.88812,-45.20045,75.6,,2022-02-23
-18.88812,-45.20045,0.9,,2023-08-15
-18.88812,-45.20045,4.0,,2023-05-24
-18.89833,-45.12083,2.73,,2022-06-01
-18.89833,-45.12083,26.5,,2022-11-01
-18.89833,-45.12083,38.7,,2023-02-16
-18.89833,-45.12083,279.4,,2022-08-24
-18.89833,-45.12083,0.89,,2019-08-21
-18.89833,-45.12083,3.21,,2018-08-23
-18.89833,-45.12083,3.35,,2016-05-03
-18.89833,-45.12083,3.56,,2019-01-20
-18.89833,-45.12083,3.92,,2018-05-17
-18.89833,-45.12083,5.53,,2019-02-28
-18.89833,-45.12083,6.22,,2021-08-25
-18.89833,-45.12083,6.3,,2020-08-26
-18.89833,-45.12083,6.38,,2019-05-22
-18.89833,-45.12083,6.6,,2020-05-07
-18.89833,-45.12083,7.01,,2021-01-30
-18.89833,-45.12083,8.31,,2016-08-25
-18.89833,-45.12083,10.5,,2020-02-19
-18.89833,-45.12083,10.7,,2021-02-02
-18.89833,-45.12083,22.4,,2022-02-23
-18.89833,-45.12083,27.1,,2016-01-09
-18.89833,-45.12083,29.6,,2017-02-17
-18.89833,-45.12083,49.6,,2020-02-01
-18.89833,-45.12083,51.7,,2018-01-22
-18.89833,-45.12083,2.1,,2023-08-15
-18.89833,-45.12083,3.8,,2023-05-24
-18.8325,-45.13306,2.81,,2022-11-01
-18.8325,-45.13306,2.9,,2022-06-01
-18.8325,-45.13306,4.0,,2023-02-16
-18.8325,-45.13306,248.6,,2022-08-24
-18.8325,-45.13306,1.6,,2019-08-21
-18.8325,-45.13306,2.75,,2016-08-25
-18.8325,-45.13306,2.77,,2021-05-19
-18.8325,-45.13306,2.78,,2020-08-26
-18.8325,-45.13306,3.04,,2021-01-30
-18.8325,-45.13306,3.06,,2018-01-22
-18.8325,-45.13306,3.2,,2021-08-25
-18.8325,-45.13306,3.23,,2019-01-20
-18.8325,-45.13306,3.53,,2020-02-19
-18.8325,-45.13306,4.21,,2018-08-22
-18.8325,-45.13306,4.46,,2019-02-28
-18.8325,-45.13306,4.47,,2019-05-22
-18.8325,-45.13306,5.11,,2020-02-01
-18.8325,-45.13306,6.73,,2020-05-07
-18.8325,-45.13306,7.19,,2016-05-03
-18.8325,-45.13306,7.43,,2016-01-09
-18.8325,-45.13306,8.89,,2018-05-17
-18.8325,-45.13306,9.64,,2017-02-17
-18.8325,-45.13306,14.1,,2021-02-02
-18.8325,-45.13306,64.1,,2022-02-23
-18.8325,-45.13306,1.1,,2023-08-15
-18.8325,-45.13306,1.6,,2023-05-24
-18.57222,-45.26083,2.1,,2023-02-15
-18.57222,-45.26083,2.86,,2022-06-02
-18.57222,-45.26083,3.27,,2022-11-30
-18.57222,-45.26083,260.0,,2022-08-25
-18.57222,-45.26083,1.61,,2019-08-22
-18.57222,-45.26083,1.82,,2021-08-26
-18.57222,-45.26083,2.57,,2020-08-27
-18.57222,-45.26083,3.05,,2021-01-30
-18.57222,-45.26083,3.08,,2020-02-20
-18.57222,-45.26083,3.1,,2019-05-22
-18.57222,-45.26083,3.41,,2018-08-22
-18.57222,-45.26083,3.5,,2018-05-16
-18.57222,-45.26083,3.54,,2021-05-20
-18.57222,-45.26083,3.71,,2017-02-16
-18.57222,-45.26083,4.02,,2019-02-27
-18.57222,-45.26083,4.03,,2016-05-04
-18.57222,-45.26083,4.39,,2018-01-21
-18.57222,-45.26083,5.1,,2020-05-06
-18.57222,-45.26083,5.79,,2021-02-03
-18.57222,-45.26083,6.07,,2020-02-03
-18.57222,-45.26083,6.2,,2016-08-24
-18.57222,-45.26083,7.69,,2016-01-08
-18.57222,-45.26083,9.08,,2019-01-21
-18.57222,-45.26083,12.4,,2022-02-24
-18.57222,-45.26083,0.7,,2023-08-15
-18.57222,-45.26083,1.4,,2023-05-24
-18.48928,-45.42733,1.0,,2023-02-15
-18.48928,-45.42733,2.87,,2022-11-30
-18.48928,-45.42733,5.25,,2022-06-02
-18.48928,-45.42733,259.6,,2022-08-25
-18.48928,-45.42733,0.53,,2019-08-22
-18.48928,-45.42733,0.89,,2021-08-26
-18.48928,-45.42733,1.3,,2020-02-20
-18.48928,-45.42733,2.1,,2019-02-27
-18.48928,-45.42733,2.28,,2021-02-03
-18.48928,-45.42733,2.95,,2018-08-22
-18.48928,-45.42733,3.19,,2018-01-21
-18.48928,-45.42733,3.4,,2016-08-25
-18.48928,-45.42733,3.53,,2020-02-03
-18.48928,-45.42733,3.78,,2020-05-06
-18.48928,-45.42733,3.92,,2021-01-30
-18.48928,-45.42733,3.93,,2016-01-09
-18.48928,-45.42733,3.99,,2022-02-24
-18.48928,-45.42733,5.18,,2017-02-16
-18.48928,-45.42733,5.21,,2020-08-27
-18.48928,-45.42733,5.54,,2018-02-28
-18.48928,-45.42733,6.86,,2019-05-21
-18.48928,-45.42733,7.81,,2019-01-21
-18.48928,-45.42733,8.29,,2016-05-04
-18.48928,-45.42733,9.18,,2018-05-16
-18.48928,-45.42733,0.0,,2023-08-18
-18.48928,-45.42733,6.1,,2023-05-23
-18.21276,-45.29314,0.3,,2023-02-15
-18.21276,-45.29314,2.32,,2022-11-01
-18.21276,-45.29314,8.51,,2022-06-02
-18.21276,-45.29314,221.9,,2022-08-25
-18.21276,-45.29314,0.2,,2023-08-18
-18.21276,-45.29314,3.8,,2023-05-23
-18.22376,-45.26183,0.0,,2022-08-25
-18.22376,-45.26183,1.1,,2023-02-15
-18.22376,-45.26183,1.78,,2022-11-01
-18.22376,-45.26183,6.43,,2022-06-02
-18.22376,-45.26183,0.82,,2019-08-22
-18.22376,-45.26183,0.83,,2021-08-26
-18.22376,-45.26183,1.08,,2019-01-20
-18.22376,-45.26183,1.64,,2021-02-03
-18.22376,-45.26183,1.79,,2016-08-23
-18.22376,-45.26183,1.98,,2020-02-01
-18.22376,-45.26183,2.13,,2019-02-27
-18.22376,-45.26183,2.3,,2020-02-21
-18.22376,-45.26183,2.33,,2018-08-21
-18.22376,-45.26183,2.76,,2016-01-08
-18.22376,-45.26183,2.78,,2020-08-26
-18.22376,-45.26183,2.92,,2019-05-21
-18.22376,-45.26183,3.19,,2018-02-27
-18.22376,-45.26183,3.38,,2018-01-20
-18.22376,-45.26183,3.99,,2020-05-06
-18.22376,-45.26183,4.07,,2021-01-30
-18.22376,-45.26183,4.12,,2016-04-29
-18.22376,-45.26183,5.88,,2018-05-15
-18.22376,-45.26183,6.6,,2017-02-16
-18.22376,-45.26183,13.8,,2022-02-24
-18.22376,-45.26183,0.2,,2023-08-18
-18.22376,-45.26183,1.8,,2023-05-23
-18.22376,-45.26183,1.8,,2023-12-13
-18.223889,-45.261667,,4.46,2000-11-23
-18.223889,-45.261667,,0.23,2000-11-23
-18.223889,-45.261667,,2.23,2001-07-11
-18.223889,-45.261667,,1.95,2001-07-11
-18.223889,-45.261667,,1.39,2001-10-31
-18.223889,-45.261667,,0.28,2001-10-31
-18.223889,-45.261667,,3.35,2002-02-15
-18.223889,-45.261667,,2.23,2002-04-15
-18.223889,-45.261667,,1.12,2002-07-16
-18.223889,-45.261667,,0.42,2002-07-16
-18.223889,-45.261667,,0.84,2003-02-17
-18.223889,-45.261667,,2.23,2003-02-17
-18.223889,-45.261667,,1.4,2003-05-05
-18.223889,-45.261667,,1.53,2003-12-03
-18.223889,-45.261667,,3.07,2004-06-01
-18.223889,-45.261667,,3.07,2004-06-01
-18.223889,-45.261667,,2.39,2004-11-21
-18.223889,-45.261667,,1.26,2004-11-21
-18.223889,-45.261667,,2.4,2005-02-21
-18.223889,-45.261667,,0.84,2005-02-21
-18.223889,-45.261667,,2.23,2005-04-29
-18.223889,-45.261667,,0.56,2005-04-29
-18.223889,-45.261667,,2.09,2006-06-01
-18.223889,-45.261667,,5.86,2006-06-01
-18.223889,-45.261667,,2.09,2007-05-05
-18.223889,-45.261667,,2.37,2007-05-05
-18.223889,-45.261667,,0.84,2007-07-05
-18.223889,-45.261667,,0.67,2008-05-21
-18.223889,-45.261667,,0.42,2008-11-11
-18.223889,-45.261667,,0.28,2009-08-24
-18.223889,-45.261667,,3.81,2009-11-06
-18.223889,-45.261667,,3.21,2009-11-06
-18.223889,-45.261667,,2.42,2010-02-03
-18.223889,-45.261667,,0.14,2010-02-03
-18.223889,-45.261667,,1.95,2010-05-06
-18.223889,-45.261667,,1.4,2010-05-06
-18.223889,-45.261667,,1.67,2010-10-20
-18.223889,-45.261667,,0.28,2010-10-20
-18.223889,-45.261667,,4.74,2011-02-28
-18.223889,-45.261667,,3.97,2011-02-28
-18.223889,-45.261667,,4.19,2011-06-01
-18.223889,-45.261667,,4.19,2011-06-01
-18.223889,-45.261667,,1.88,2011-08-08
-18.223889,-45.261667,,2.58,2011-08-08
-18.223889,-45.261667,,1.95,2011-11-07
-18.223889,-45.261667,,2.23,2011-11-07
-18.223889,-45.261667,,6.98,2012-03-08
-18.223889,-45.261667,,1.12,2012-03-08
-18.223889,-45.261667,,2.51,2012-06-12
-18.223889,-45.261667,,0.56,2012-06-12
-18.223889,-45.261667,,6.14,2012-07-30
-18.223889,-45.261667,,0.84,2012-10-29
-18.223889,-45.261667,,7.67,2012-10-29
-18.223889,-45.261667,,0.84,2013-03-20
-18.223889,-45.261667,,2.79,2013-03-20
-18.223889,-45.261667,,0.28,2013-07-12
-18.223889,-45.261667,,1.12,2013-07-12
-18.223889,-45.261667,,7.0,2013-10-02
-18.223889,-45.261667,,0.52,2013-11-04
-18.223889,-45.261667,,1.4,2014-04-22
-18.223889,-45.261667,,0.28,2014-04-22
-18.223889,-45.261667,,1.67,2014-06-05
-18.223889,-45.261667,,0.84,2014-06-05
-18.223889,-45.261667,,0.28,2014-10-07
-18.223889,-45.261667,,0.28,2014-10-07
-18.223889,-45.261667,,1.4,2014-11-20
-18.223889,-45.261667,,0.28,2014-11-20
-18.223889,-45.261667,,17.02,2015-04-10
-18.223889,-45.261667,,0.25,2015-06-29
-18.572222,-45.260833,,2.65,2002-04-16
-18.572222,-45.260833,,6.63,2003-02-06
-18.572222,-45.260833,,2.51,2009-06-04
-18.572222,-45.260833,,0.84,2009-06-04
-18.572222,-45.260833,,2.23,2009-11-10
-18.572222,-45.260833,,1.67,2009-11-10
-18.572222,-45.260833,,0.98,2010-05-05
-18.572222,-45.260833,,1.95,2010-05-05
-18.572222,-45.260833,,4.74,2011-06-02
-18.572222,-45.260833,,2.79,2011-06-02
-18.572222,-45.260833,,3.91,2011-11-03
-18.572222,-45.260833,,0.84,2011-11-03
-18.572222,-45.260833,,1.67,2012-06-16
-18.572222,-45.260833,,1.67,2012-06-16
-18.572222,-45.260833,,2.51,2012-11-07
-18.572222,-45.260833,,0.56,2012-11-07
-18.572222,-45.260833,,0.6,2013-06-16
-18.572222,-45.260833,,0.51,2013-06-16
-18.572222,-45.260833,,15.62,2014-06-04
-18.572222,-45.260833,,3.91,2014-06-04
-18.572222,-45.260833,,5.02,2015-01-06
-18.572222,-45.260833,,0.7,2015-01-06
-18.572222,-45.260833,,1.81,2015-07-24
-18.572222,-45.260833,,1.12,2015-07-24
-18.898333,-45.120833,,0.35,2002-04-17
-18.898333,-45.120833,,0.7,2002-04-17
-18.898333,-45.120833,,4.19,2003-02-04
-18.898333,-45.120833,,3.21,2009-06-05
-18.898333,-45.120833,,2.93,2009-06-05
-18.898333,-45.120833,,4.19,2009-11-27
-18.898333,-45.120833,,3.07,2010-05-07
-18.898333,-45.120833,,3.35,2010-05-07
-18.898333,-45.120833,,2.23,2011-06-03
-18.898333,-45.120833,,0.84,2011-06-03
-18.898333,-45.120833,,2.23,2011-11-08
-18.898333,-45.120833,,0.84,2011-11-08
-18.898333,-45.120833,,3.63,2012-06-18
-18.898333,-45.120833,,3.35,2012-06-18
-18.898333,-45.120833,,3.63,2012-11-08
-18.898333,-45.120833,,1.95,2012-11-08
-18.898333,-45.120833,,3.02,2013-06-08
-18.898333,-45.120833,,1.63,2013-06-08
-18.898333,-45.120833,,0.28,2014-06-16
-18.898333,-45.120833,,1.67,2014-06-16
-18.898333,-45.120833,,1.95,2015-01-27
-18.898333,-45.120833,,0.17,2015-01-27
-18.898333,-45.120833,,0.98,2015-07-28
-18.898333,-45.120833,,0.7,2015-07-28
-18.8325,-45.133056,,1.4,2002-04-17
-18.8325,-45.133056,,2.23,2003-02-04
-18.8325,-45.133056,,3.21,2009-06-05
-18.8325,-45.133056,,1.26,2009-06-05
-18.8325,-45.133056,,5.86,2009-11-27
-18.8325,-45.133056,,7.53,2010-05-07
-18.8325,-45.133056,,4.18,2010-05-07
-18.8325,-45.133056,,0.84,2011-06-03
-18.8325,-45.133056,,1.39,2011-06-03
-18.8325,-45.133056,,3.35,2011-11-08
-18.8325,-45.133056,,1.12,2011-11-08
-18.8325,-45.133056,,3.91,2012-06-18
-18.8325,-45.133056,,1.4,2012-06-18
-18.8325,-45.133056,,4.46,2012-11-08
-18.8325,-45.133056,,1.4,2012-11-08
-18.8325,-45.133056,,0.37,2013-06-08
-18.8325,-45.133056,,0.84,2013-06-08
-18.8325,-45.133056,,2.09,2015-01-27
-18.8325,-45.133056,,0.17,2015-01-27
-18.8325,-45.133056,,0.56,2015-07-28
-18.8325,-45.133056,,0.14,2015-07-28
-18.88812,-45.20045,4.17,,2022-06-01
-18.88812,-45.20045,4.78,,2022-11-01
-18.88812,-45.20045,10.1,,2023-02-16
